,Start (ET),Away?,Opponent,TeamPts,OppPts,Team,TeamName,Location,PreviousLocation,DistanceFromPrevious,Datetime,DaysBetweenGames,SeasonAveragePPG,PTSoverAVG
0,19:00:00,@,Charlotte Hornets,91.0,109.0,ATL,Atlanta Hawks,"[35.2272086, -80.8430827]","[32.7762719, -96.7968559]",1493.0358510644498,2017-10-20 19:00:00,1.9375,108.30246913580247,-17.30246913580247
1,15:30:00,@,Brooklyn Nets,104.0,116.0,ATL,Atlanta Hawks,"[40.678177, -73.94416]","[35.2272086, -80.8430827]",855.2250427773808,2017-10-22 15:30:00,1.8541666666666667,108.30246913580247,-4.302469135802468
2,19:30:00,@,Miami Heat,93.0,104.0,ATL,Atlanta Hawks,"[25.7741728, -80.19362]","[40.678177, -73.94416]",1753.865769588663,2017-10-23 19:30:00,1.1666666666666667,108.30246913580247,-15.302469135802468
3,20:00:00,@,Chicago Bulls,86.0,91.0,ATL,Atlanta Hawks,"[41.8810409, -87.6711385]","[25.7741728, -80.19362]",1916.3853800988725,2017-10-26 20:00:00,3.0208333333333335,108.30246913580247,-22.30246913580247
4,19:30:00,,Denver Nuggets,100.0,105.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[41.8810409, -87.6711385]",948.2536470623575,2017-10-27 19:30:00,0.9791666666666666,108.30246913580247,-8.302469135802468
5,15:30:00,,Milwaukee Bucks,106.0,117.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[33.7489924, -84.3902644]",0.0,2017-10-29 15:30:00,1.8333333333333333,108.30246913580247,-2.3024691358024683
6,19:00:00,@,Philadelphia 76ers,109.0,119.0,ATL,Atlanta Hawks,"[39.952583, -75.165222]","[33.7489924, -84.3902644]",1070.4481873270183,2017-11-01 19:00:00,3.1458333333333335,108.30246913580247,0.6975308641975317
7,19:30:00,,Houston Rockets,104.0,119.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[39.952583, -75.165222]",1070.4481873270183,2017-11-03 19:30:00,2.0208333333333335,108.30246913580247,-4.302469135802468
8,15:00:00,@,Cleveland Cavaliers,117.0,115.0,ATL,Atlanta Hawks,"[41.5051613, -81.6934446]","[33.7489924, -84.3902644]",893.8524331647361,2017-11-05 15:00:00,1.8125,108.30246913580247,8.697530864197532
9,19:30:00,,Boston Celtics,107.0,110.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[41.5051613, -81.6934446]",893.8524331647361,2017-11-06 19:30:00,1.1875,108.30246913580247,-1.3024691358024683
10,19:00:00,@,Detroit Pistons,104.0,111.0,ATL,Atlanta Hawks,"[42.3315509, -83.0466403]","[33.7489924, -84.3902644]",960.9216021676565,2017-11-10 19:00:00,3.9791666666666665,108.30246913580247,-4.302469135802468
11,19:00:00,@,Washington Wizards,94.0,113.0,ATL,Atlanta Hawks,"[38.8950368, -77.0365427]","[42.3315509, -83.0466403]",634.4543633492777,2017-11-11 19:00:00,1.0,108.30246913580247,-14.302469135802468
12,20:00:00,@,New Orleans Pelicans,105.0,106.0,ATL,Atlanta Hawks,"[29.9499323, -90.0701156]","[38.8950368, -77.0365427]",1551.2948257395833,2017-11-13 20:00:00,2.0416666666666665,108.30246913580247,-3.3024691358024683
13,19:30:00,,Sacramento Kings,126.0,80.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[29.9499323, -90.0701156]",682.1910813216259,2017-11-15 19:30:00,1.9791666666666667,108.30246913580247,17.69753086419753
14,19:30:00,,Boston Celtics,99.0,110.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[33.7489924, -84.3902644]",0.0,2017-11-18 19:30:00,3.0000000000000004,108.30246913580247,-9.302469135802468
15,20:30:00,@,San Antonio Spurs,85.0,96.0,ATL,Atlanta Hawks,"[29.4246002, -98.4951405]","[33.7489924, -84.3902644]",1417.523992488708,2017-11-20 20:30:00,2.0416666666666665,108.30246913580247,-23.30246913580247
16,19:30:00,,Los Angeles Clippers,103.0,116.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[29.4246002, -98.4951405]",1417.523992488708,2017-11-22 19:30:00,1.9583333333333333,108.30246913580247,-5.302469135802468
17,19:30:00,,New York Knicks,116.0,104.0,ATL,Atlanta Hawks,"[33.7489924, -84.3902644]","[33.7489924, -84.3902644]",0.0,2017-11-24 19:30:00,2.0,108.30246913580247,7.697530864197532
